"Timestamp","Entering Grade Level","District","Birth Month","OLSAT Verbal Percentile","NNAT Non Verbal Percentile","Overall Score","School Preferences","School Assigned","Will you enroll there?","Year"
2018-03-27,1,2,"November",79,99,94,"PS33, PS11",NA,"Not sure",2018
2018-03-27,1,2,"February",96,92,94,"LL, PS 198, PS 130, PS 11, PS 33",NA,"Yes",2018
2018-03-27,0,20,"March",79,99,94,":-(",NA,NA,2018
2018-03-27,0,20,"June",99,79,94,"No idea!","PS 205","No",2018
2018-03-28,0,2,"August",90,96,94,"Ps11, ps33",NA,NA,2018
2018-03-27,1,20,"June",91,95,93,NA,"\",NA,2018
2018-03-27,2,3,"July",62,99,91,NA,NA,NA,2018
2018-12-31,0,6,"August",75,98,91,NA,NA,"No",2018
2018-03-27,1,2,"December",48,98,84,NA,NA,"Maybe",2018
2018-03-27,1,2,"July",89,71,81,":( maybe next year",NA,NA,2018
2018-03-27,1,2,"August",62,91,79,NA,NA,NA,2018
